instrument,auction_date,settlement_date,leg,term_bucket,isin,amount_chf_mn,signed_chf_mn
GMBF,2017-12-19,2017-12-21,opening,91d,CH0036182589,495.9,495.9
GMBF,2017-09-26,2017-12-28,closing,91d,CH0036182464,441.0,-441.0
GMBF,2017-12-22,2017-12-28,opening,91d,CH0036182597,145.0,145.0
GMBF,2017-01-03,2018-01-04,closing,364d,CH0036182084,446.7,-446.7
GMBF,2017-12-29,2018-01-04,opening,364d,CH0036182605,584.35,584.35
Conf. Bonds,2017-12-13,2018-01-08,opening,12yr,CH0224397171,193.8,193.8
Conf. Bonds,2017-12-13,2018-01-08,opening,40yr,CH0224397338,134.0,134.0
GMBF,2017-10-10,2018-01-11,closing,91d,CH0036182480,451.5,-451.5
GMBF,2018-01-09,2018-01-11,opening,91d,CH0036182613,483.6,483.6
GMBF,2017-10-17,2018-01-18,closing,91d,CH0036182498,479.0,-479.0
GMBF,2018-01-16,2018-01-18,opening,91d,CH0036182621,483.3,483.3
Conf. Bonds,2018-01-10,2018-01-24,opening,9yr,CH0031835561,200.2,200.2
Conf. Bonds,2018-01-10,2018-01-24,opening,27yr,CH0344958498,95.3,95.3
GMBF,2017-10-24,2018-01-25,closing,91d,CH0036182506,444.0,-444.0
GMBF,2018-01-23,2018-01-25,opening,91d,CH0036182639,493.0,493.0
GMBF,2017-10-31,2018-02-01,closing,91d,CH0036182514,425.95,-425.95
GMBF,2018-01-30,2018-02-01,opening,91d,CH0036182647,376.05,376.05
GMBF,2017-11-07,2018-02-08,closing,91d,CH0036182522,428.2,-428.2
GMBF,2018-02-06,2018-02-08,opening,91d,CH0036182654,481.0,481.0
GMBF,2017-08-15,2018-02-15,closing,182d,CH0036182407,483.85,-483.85
GMBF,2018-02-13,2018-02-15,opening,182d,CH0036182662,523.5,523.5
GMBF,2017-11-21,2018-02-22,closing,91d,CH0036182548,403.0,-403.0
GMBF,2018-02-20,2018-02-22,opening,91d,CH0036182670,406.8,406.8
Conf. Bonds,2018-02-14,2018-03-01,opening,11yr,CH0224397346,248.3,248.3
Conf. Bonds,2018-02-14,2018-03-01,opening,37yr,CH0344958472,213.4,213.4
GMBF,2017-11-28,2018-03-01,closing,91d,CH0036182555,466.65,-466.65
GMBF,2018-02-27,2018-03-01,opening,91d,CH0036182688,565.45,565.45
GMBF,2017-12-05,2018-03-08,closing,91d,CH0036182563,474.95,-474.95
GMBF,2018-03-06,2018-03-08,opening,91d,CH0036182696,398.95,398.95
GMBF,2017-12-12,2018-03-15,closing,91d,CH0036182571,559.2,-559.2
GMBF,2018-03-13,2018-03-15,opening,91d,CH0036182704,399.8,399.8
GMBF,2017-12-19,2018-03-22,closing,91d,CH0036182589,495.9,-495.9
GMBF,2018-03-20,2018-03-22,opening,91d,CH0036182712,444.7,444.7
Conf. Bonds,2018-03-14,2018-03-28,opening,12yr,CH0224397171,91.2,91.2
Conf. Bonds,2018-03-14,2018-03-28,opening,40yr,CH0224397338,76.85,76.85
GMBF,2017-12-22,2018-03-29,closing,91d,CH0036182597,145.0,-145.0
GMBF,2018-03-27,2018-03-29,opening,91d,CH0036182720,197.0,197.0
GMBF,2017-10-03,2018-04-05,closing,182d,CH0036182472,480.4,-480.4
GMBF,2018-04-03,2018-04-05,opening,182d,CH0036182738,137.85,137.85
GMBF,2018-01-09,2018-04-12,closing,91d,CH0036182613,483.6,-483.6
GMBF,2018-04-10,2018-04-12,opening,91d,CH0036182746,315.3,315.3
GMBF,2018-01-16,2018-04-19,closing,91d,CH0036182621,483.3,-483.3
GMBF,2018-04-17,2018-04-19,opening,91d,CH0036182753,393.25,393.25
Conf. Bonds,2018-04-11,2018-04-25,opening,11yr,CH0224397346,134.35,134.35
GMBF,2018-01-23,2018-04-26,closing,91d,CH0036182639,493.0,-493.0
GMBF,2018-04-24,2018-04-26,opening,91d,CH0036182761,315.0,315.0
GMBF,2018-01-30,2018-05-03,closing,91d,CH0036182647,376.05,-376.05
GMBF,2018-04-30,2018-05-03,opening,91d,CH0036182779,338.0,338.0
GMBF,2018-02-06,2018-05-11,closing,91d,CH0036182654,481.0,-481.0
GMBF,2018-05-08,2018-05-11,opening,91d,CH0036182787,513.65,513.65
GMBF,2017-11-14,2018-05-17,closing,182d,CH0036182530,422.1,-422.1
GMBF,2018-05-15,2018-05-17,opening,182d,CH0036182795,378.7,378.7
Conf. Bonds,2018-05-09,2018-05-24,opening,37yr,CH0344958472,91.95,91.95
GMBF,2018-02-20,2018-05-24,closing,91d,CH0036182670,406.8,-406.8
GMBF,2018-05-22,2018-05-24,opening,91d,CH0036182803,304.3,304.3
GMBF,2018-02-27,2018-05-31,closing,91d,CH0036182688,565.45,-565.45
GMBF,2018-05-29,2018-05-31,opening,91d,CH0036182811,374.8,374.8
GMBF,2018-03-06,2018-06-07,closing,91d,CH0036182696,398.95,-398.95
GMBF,2018-06-05,2018-06-07,opening,91d,CH0036182829,365.65,365.65
GMBF,2018-03-13,2018-06-14,closing,91d,CH0036182704,399.8,-399.8
GMBF,2018-06-12,2018-06-14,opening,91d,CH0036182837,152.2,152.2
GMBF,2018-03-20,2018-06-21,closing,91d,CH0036182712,444.7,-444.7
GMBF,2018-06-19,2018-06-21,opening,91d,CH0036182845,370.4,370.4
Conf. Bonds,2018-06-13,2018-06-27,opening,14yr,CH0344958688,206.2,206.2
GMBF,2018-03-27,2018-06-28,closing,91d,CH0036182720,197.0,-197.0
GMBF,2018-06-26,2018-06-28,opening,91d,CH0036182852,355.0,355.0
GMBF,2017-07-04,2018-07-05,closing,364d,CH0036182340,546.0,-546.0
GMBF,2018-07-03,2018-07-05,opening,364d,CH0036182860,344.9,344.9
GMBF,2018-04-10,2018-07-12,closing,91d,CH0036182746,315.3,-315.3
GMBF,2018-07-10,2018-07-12,opening,91d,CH0036182878,292.6,292.6
GMBF,2018-04-17,2018-07-19,closing,91d,CH0036182753,393.25,-393.25
GMBF,2018-07-17,2018-07-19,opening,91d,CH0036182886,407.45,407.45
Conf. Bonds,2018-07-11,2018-07-25,opening,13yr,CH0344958688,84.45,84.45
GMBF,2018-04-24,2018-07-26,closing,91d,CH0036182761,315.0,-315.0
GMBF,2018-07-24,2018-07-26,opening,91d,CH0036182894,231.8,231.8
GMBF,2018-04-30,2018-08-02,closing,91d,CH0036182779,338.0,-338.0
GMBF,2018-07-31,2018-08-02,opening,91d,CH0036182902,312.4,312.4
GMBF,2018-05-08,2018-08-09,closing,91d,CH0036182787,513.65,-513.65
GMBF,2018-08-07,2018-08-09,opening,91d,CH0036182910,340.6,340.6
GMBF,2018-02-13,2018-08-16,closing,182d,CH0036182662,523.5,-523.5
GMBF,2018-08-14,2018-08-16,opening,182d,CH0036182928,476.65,476.65
GMBF,2018-05-22,2018-08-23,closing,91d,CH0036182803,304.3,-304.3
GMBF,2018-08-21,2018-08-23,opening,91d,CH0036182936,320.2,320.2
GMBF,2018-05-29,2018-08-30,closing,91d,CH0036182811,374.8,-374.8
GMBF,2018-08-28,2018-08-30,opening,91d,CH0036182944,235.35,235.35
GMBF,2018-06-05,2018-09-06,closing,91d,CH0036182829,365.65,-365.65
GMBF,2018-09-04,2018-09-06,opening,91d,CH0036182951,387.35,387.35
GMBF,2018-06-12,2018-09-13,closing,91d,CH0036182837,152.2,-152.2
GMBF,2018-09-11,2018-09-13,opening,91d,CH0036182969,262.95,262.95
GMBF,2018-06-19,2018-09-20,closing,91d,CH0036182845,370.4,-370.4
GMBF,2018-09-18,2018-09-20,opening,91d,CH0036182977,323.15,323.15
Conf. Bonds,2018-09-12,2018-09-26,opening,26yr,CH0344958498,201.15,201.15
GMBF,2018-06-26,2018-09-27,closing,91d,CH0036182852,355.0,-355.0
GMBF,2018-09-25,2018-09-27,opening,91d,CH0036182985,360.8,360.8
GMBF,2018-04-03,2018-10-04,closing,182d,CH0036182738,137.85,-137.85
GMBF,2018-10-02,2018-10-04,opening,182d,CH0036182993,283.85,283.85
GMBF,2018-07-10,2018-10-11,closing,91d,CH0036182878,292.6,-292.6
GMBF,2018-10-09,2018-10-11,opening,91d,CH0036183009,255.5,255.5
GMBF,2018-07-17,2018-10-18,closing,91d,CH0036182886,407.45,-407.45
GMBF,2018-10-16,2018-10-18,opening,91d,CH0036183017,549.85,549.85
GMBF,2018-07-24,2018-10-25,closing,91d,CH0036182894,231.8,-231.8
GMBF,2018-10-23,2018-10-25,opening,91d,CH0036183025,546.1,546.1
GMBF,2018-07-31,2018-11-01,closing,91d,CH0036182902,312.4,-312.4
GMBF,2018-10-30,2018-11-01,opening,91d,CH0036183033,427.2,427.2
GMBF,2018-08-07,2018-11-08,closing,91d,CH0036182910,340.6,-340.6
GMBF,2018-11-06,2018-11-08,opening,91d,CH0036183041,378.05,378.05
GMBF,2018-05-15,2018-11-15,closing,182d,CH0036182795,378.7,-378.7
GMBF,2018-11-13,2018-11-15,opening,182d,CH0036183058,382.05,382.05
GMBF,2018-08-21,2018-11-22,closing,91d,CH0036182936,320.2,-320.2
GMBF,2018-11-20,2018-11-22,opening,91d,CH0036183066,402.0,402.0
Conf. Bonds,2018-11-14,2018-11-28,opening,13yr,CH0344958688,111.2,111.2
GMBF,2018-08-28,2018-11-29,closing,91d,CH0036182944,235.35,-235.35
GMBF,2018-11-27,2018-11-29,opening,91d,CH0036183074,297.1,297.1
GMBF,2018-09-04,2018-12-06,closing,91d,CH0036182951,387.35,-387.35
GMBF,2018-12-04,2018-12-06,opening,91d,CH0036183082,464.85,464.85
GMBF,2018-09-11,2018-12-13,closing,91d,CH0036182969,262.95,-262.95
GMBF,2018-12-11,2018-12-13,opening,91d,CH0036183090,396.35,396.35
Conf. Bonds,2018-12-12,2018-12-19,opening,10yr,CH0224397346,135.488,135.488
GMBF,2018-09-18,2018-12-20,closing,91d,CH0036182977,323.15,-323.15
GMBF,2018-12-18,2018-12-20,opening,91d,CH0036183108,67.1,67.1
GMBF,2018-09-25,2018-12-27,closing,91d,CH0036182985,360.8,-360.8
GMBF,2018-12-21,2018-12-27,opening,91d,CH0036183116,107.5,107.5
GMBF,2017-12-29,2019-01-03,closing,364d,CH0036182605,584.35,-584.35
GMBF,2018-12-28,2019-01-03,opening,364d,CH0036183124,279.7,279.7
GMBF,2018-10-09,2019-01-10,closing,91d,CH0036183009,255.5,-255.5
GMBF,2019-01-08,2019-01-10,opening,91d,CH0036183132,149.45,149.45
GMBF,2018-10-16,2019-01-17,closing,91d,CH0036183017,549.85,-549.85
GMBF,2019-01-15,2019-01-17,opening,91d,CH0036183140,308.95,308.95
Conf. Bonds,2019-01-09,2019-01-23,opening,11yr,CH0224397171,141.575,141.575
Conf. Bonds,2019-01-09,2019-01-23,opening,26yr,CH0344958498,129.65,129.65
GMBF,2018-10-23,2019-01-24,closing,91d,CH0036183025,546.1,-546.1
GMBF,2019-01-22,2019-01-24,opening,91d,CH0036183157,74.05,74.05
GMBF,2018-10-30,2019-01-31,closing,91d,CH0036183033,427.2,-427.2
GMBF,2019-01-29,2019-01-31,opening,91d,CH0036183165,237.95,237.95
GMBF,2018-11-06,2019-02-07,closing,91d,CH0036183041,378.05,-378.05
GMBF,2019-02-05,2019-02-07,opening,91d,CH0036183173,597.9,597.9
GMBF,2018-08-14,2019-02-14,closing,182d,CH0036182928,476.65,-476.65
GMBF,2019-02-12,2019-02-14,opening,182d,CH0036183181,635.3,635.3
GMBF,2018-11-20,2019-02-21,closing,91d,CH0036183066,402.0,-402.0
GMBF,2019-02-19,2019-02-21,opening,91d,CH0036183199,532.0,532.0
Conf. Bonds,2019-02-13,2019-02-27,opening,13yr,CH0344958688,136.65,136.65
Conf. Bonds,2019-02-13,2019-02-27,opening,36yr,CH0344958472,78.375,78.375
GMBF,2018-11-27,2019-02-28,closing,91d,CH0036183074,297.1,-297.1
GMBF,2019-02-26,2019-02-28,opening,91d,CH0036183207,504.05,504.05
GMBF,2018-12-04,2019-03-07,closing,91d,CH0036183082,464.85,-464.85
GMBF,2019-03-05,2019-03-07,opening,91d,CH0036183215,466.25,466.25
GMBF,2018-12-11,2019-03-14,closing,91d,CH0036183090,396.35,-396.35
GMBF,2019-03-12,2019-03-14,opening,91d,CH0036183223,502.8,502.8
GMBF,2019-03-19,2019-03-21,opening,91d,CH0036183231,436.95,436.95
Conf. Bonds,2019-03-13,2019-03-27,opening,10yr,CH0224397346,132.4,132.4
Conf. Bonds,2019-03-13,2019-03-27,opening,26yr,CH0344958498,107.475,107.475
GMBF,2018-12-21,2019-03-28,closing,91d,CH0036183116,107.5,-107.5
GMBF,2019-03-26,2019-03-28,opening,91d,CH0036183249,408.5,408.5
GMBF,2018-10-02,2019-04-04,closing,182d,CH0036182993,283.85,-283.85
GMBF,2019-04-02,2019-04-04,opening,182d,CH0036183256,518.95,518.95
GMBF,2019-01-08,2019-04-11,closing,91d,CH0036183132,149.45,-149.45
GMBF,2019-04-09,2019-04-11,opening,91d,CH0036183264,587.75,587.75
GMBF,2019-01-15,2019-04-18,closing,91d,CH0036183140,308.95,-308.95
GMBF,2019-04-16,2019-04-18,opening,91d,CH0036183272,464.3,464.3
Conf. Bonds,2019-04-10,2019-04-24,opening,13yr,CH0344958688,125.85,125.85
Conf. Bonds,2019-04-10,2019-04-24,opening,36yr,CH0344958472,118.35,118.35
GMBF,2019-01-22,2019-04-25,closing,91d,CH0036183157,74.05,-74.05
GMBF,2019-04-23,2019-04-25,opening,91d,CH0036183280,400.4,400.4
GMBF,2019-01-29,2019-05-02,closing,91d,CH0036183165,237.95,-237.95
GMBF,2019-04-30,2019-05-02,opening,91d,CH0036183298,419.7,419.7
GMBF,2019-02-05,2019-05-09,closing,91d,CH0036183173,597.9,-597.9
GMBF,2019-05-07,2019-05-09,opening,91d,CH0036183306,414.0,414.0
GMBF,2018-11-13,2019-05-16,closing,182d,CH0036183058,382.05,-382.05
GMBF,2019-05-14,2019-05-16,opening,182d,CH0036183314,438.15,438.15
Conf. Bonds,2019-05-08,2019-05-22,opening,10yr,CH0224397346,100.24,100.24
Conf. Bonds,2019-05-08,2019-05-22,opening,26yr,CH0344958498,77.55,77.55
GMBF,2019-02-19,2019-05-23,closing,91d,CH0036183199,532.0,-532.0
GMBF,2019-05-21,2019-05-23,opening,91d,CH0036183322,360.65,360.65
GMBF,2019-02-26,2019-05-31,closing,91d,CH0036183207,504.05,-504.05
GMBF,2019-05-28,2019-05-31,opening,91d,CH0036183330,401.35,401.35
GMBF,2019-03-05,2019-06-06,closing,91d,CH0036183215,466.25,-466.25
GMBF,2019-06-04,2019-06-06,opening,91d,CH0036183348,418.8,418.8
GMBF,2019-03-12,2019-06-13,closing,91d,CH0036183223,502.8,-502.8
GMBF,2019-06-11,2019-06-13,opening,91d,CH0036183355,446.5,446.5
GMBF,2019-03-19,2019-06-20,closing,91d,CH0036183231,436.95,-436.95
GMBF,2019-06-18,2019-06-20,opening,91d,CH0036183363,408.95,408.95
Conf. Bonds,2019-06-12,2019-06-26,opening,15yr,-,206.75,206.75
GMBF,2019-03-26,2019-06-27,closing,91d,CH0036183249,408.5,-408.5
GMBF,2019-06-25,2019-06-27,opening,91d,CH0036183371,403.55,403.55
GMBF,2018-07-03,2019-07-04,closing,364d,CH0036182860,344.9,-344.9
GMBF,2019-07-02,2019-07-04,opening,364d,CH0036183389,416.4,416.4
GMBF,2019-04-09,2019-07-11,closing,91d,CH0036183264,587.75,-587.75
GMBF,2019-07-09,2019-07-11,opening,91d,CH0036183397,474.75,474.75
GMBF,2019-04-16,2019-07-18,closing,91d,CH0036183272,464.3,-464.3
GMBF,2019-07-16,2019-07-18,opening,91d,CH0036183405,416.2,416.2
Conf. Bonds,2019-07-10,2019-07-24,opening,20yr,-,106.05,106.05
GMBF,2019-04-23,2019-07-25,closing,91d,CH0036183280,400.4,-400.4
GMBF,2019-07-23,2019-07-25,opening,91d,CH0036183413,436.5,436.5
GMBF,2019-04-30,2019-08-02,closing,91d,CH0036183298,419.7,-419.7
GMBF,2019-07-30,2019-08-02,opening,91d,CH0036183421,446.7,446.7
GMBF,2019-05-07,2019-08-08,closing,91d,CH0036183306,414.0,-414.0
GMBF,2019-08-06,2019-08-08,opening,91d,CH0036183439,408.4,408.4
GMBF,2019-02-12,2019-08-15,closing,182d,CH0036183181,635.3,-635.3
GMBF,2019-08-13,2019-08-15,opening,182d,CH0036183447,438.8,438.8
GMBF,2019-05-21,2019-08-22,closing,91d,CH0036183322,360.65,-360.65
GMBF,2019-08-20,2019-08-22,opening,91d,CH0036183454,410.3,410.3
GMBF,2019-05-28,2019-08-29,closing,91d,CH0036183330,401.35,-401.35
GMBF,2019-08-27,2019-08-29,opening,91d,CH0036183462,393.4,393.4
GMBF,2019-06-04,2019-09-05,closing,91d,CH0036183348,418.8,-418.8
GMBF,2019-09-03,2019-09-05,opening,91d,CH0036183470,400.55,400.55
GMBF,2019-06-11,2019-09-12,closing,91d,CH0036183355,446.5,-446.5
GMBF,2019-09-10,2019-09-12,opening,91d,CH0036183488,403.7,403.7
GMBF,2019-06-18,2019-09-19,closing,91d,CH0036183363,408.95,-408.95
GMBF,2019-09-17,2019-09-19,opening,91d,CH0036183496,108.95,108.95
Conf. Bonds,2019-09-11,2019-09-25,opening,7yr,CH0031835561,93.69,93.69
Conf. Bonds,2019-09-11,2019-09-25,opening,14yr,CH0440081393,111.175,111.175
GMBF,2019-06-25,2019-09-26,closing,91d,CH0036183371,403.55,-403.55
GMBF,2019-09-24,2019-09-26,opening,91d,CH0036183504,365.5,365.5
GMBF,2019-04-02,2019-10-03,closing,182d,CH0036183256,518.95,-518.95
GMBF,2019-10-01,2019-10-03,opening,182d,CH0036183512,618.75,618.75
GMBF,2019-07-09,2019-10-10,closing,91d,CH0036183397,474.75,-474.75
GMBF,2019-10-08,2019-10-10,opening,91d,CH0036183520,418.9,418.9
GMBF,2019-07-16,2019-10-17,closing,91d,CH0036183405,416.2,-416.2
GMBF,2019-10-15,2019-10-17,opening,91d,CH0036183538,454.0,454.0
GMBF,2019-07-23,2019-10-24,closing,91d,CH0036183413,436.5,-436.5
GMBF,2019-10-22,2019-10-24,opening,91d,CH0036183546,467.6,467.6
GMBF,2019-07-30,2019-10-31,closing,91d,CH0036183421,446.7,-446.7
GMBF,2019-10-29,2019-10-31,opening,91d,CH0036183553,351.5,351.5
GMBF,2019-08-06,2019-11-07,closing,91d,CH0036183439,408.4,-408.4
GMBF,2019-11-05,2019-11-07,opening,91d,CH0036183561,373.2,373.2
GMBF,2019-05-14,2019-11-14,closing,182d,CH0036183314,438.15,-438.15
GMBF,2019-11-12,2019-11-14,opening,182d,CH0036183579,373.0,373.0
GMBF,2019-08-20,2019-11-21,closing,91d,CH0036183454,410.3,-410.3
GMBF,2019-11-19,2019-11-21,opening,91d,CH0036183587,423.35,423.35
Conf. Bonds,2019-11-13,2019-11-27,opening,10yr,CH0224397171,235.1,235.1
GMBF,2019-08-27,2019-11-28,closing,91d,CH0036183462,393.4,-393.4
GMBF,2019-11-26,2019-11-28,opening,91d,CH0036183595,315.4,315.4
GMBF,2019-09-03,2019-12-05,closing,91d,CH0036183470,400.55,-400.55
GMBF,2019-12-03,2019-12-05,opening,91d,CH0036183603,377.9,377.9
GMBF,2019-09-10,2019-12-12,closing,91d,CH0036183488,403.7,-403.7
GMBF,2019-12-10,2019-12-12,opening,91d,CH0036183611,408.05,408.05
GMBF,2019-09-17,2019-12-19,closing,91d,CH0036183496,108.95,-108.95
GMBF,2019-12-17,2019-12-19,opening,91d,CH0036183629,113.7,113.7
Conf. Bonds,2019-12-11,2019-12-20,opening,19yr,CH0440081401,196.6,196.6
GMBF,2019-09-24,2019-12-27,closing,91d,CH0036183504,365.5,-365.5
GMBF,2019-12-23,2019-12-27,opening,91d,CH0036183637,400.0,400.0
GMBF,2018-12-28,2020-01-03,closing,364d,CH0036183124,279.7,-279.7
GMBF,2019-12-30,2020-01-03,opening,364d,CH0036183645,155.3,155.3
GMBF,2019-10-08,2020-01-09,closing,91d,CH0036183520,418.9,-418.9
GMBF,2020-01-07,2020-01-09,opening,91d,CH0510947457,392.6,392.6
GMBF,2019-10-15,2020-01-16,closing,91d,CH0036183538,454.0,-454.0
GMBF,2020-01-14,2020-01-16,opening,91d,CH0510947465,421.2,421.2
Conf. Bonds,2020-01-08,2020-01-22,opening,12yr,CH0344958688,179.95,179.95
Conf. Bonds,2020-01-08,2020-01-22,opening,25yr,CH0344958498,162.1,162.1
GMBF,2019-10-22,2020-01-23,closing,91d,CH0036183546,467.6,-467.6
GMBF,2020-01-21,2020-01-23,opening,91d,CH0510947473,384.65,384.65
GMBF,2019-10-29,2020-01-30,closing,91d,CH0036183553,351.5,-351.5
GMBF,2020-01-28,2020-01-30,opening,91d,CH0510947481,451.5,451.5
GMBF,2019-11-05,2020-02-06,closing,91d,CH0036183561,373.2,-373.2
GMBF,2020-02-04,2020-02-06,opening,91d,CH0510947499,400.35,400.35
GMBF,2019-08-13,2020-02-13,closing,182d,CH0036183447,438.8,-438.8
GMBF,2020-02-11,2020-02-13,opening,182d,CH0510947507,462.7,462.7
GMBF,2019-11-19,2020-02-20,closing,91d,CH0036183587,423.35,-423.35
GMBF,2020-02-18,2020-02-20,opening,91d,CH0510947515,424.4,424.4
Conf. Bonds,2020-02-12,2020-02-26,opening,10yr,CH0224397171,91.4,91.4
Conf. Bonds,2020-02-12,2020-02-26,opening,19yr,CH0440081401,111.95,111.95
GMBF,2019-11-26,2020-02-27,closing,91d,CH0036183595,315.4,-315.4
GMBF,2020-02-25,2020-02-27,opening,91d,CH0510947523,464.5,464.5
GMBF,2019-12-03,2020-03-05,closing,91d,CH0036183603,377.9,-377.9
GMBF,2020-03-03,2020-03-05,opening,91d,CH0510947531,460.45,460.45
GMBF,2019-12-10,2020-03-12,closing,91d,CH0036183611,408.05,-408.05
GMBF,2020-03-10,2020-03-12,opening,91d,CH0510947549,467.9,467.9
GMBF,2019-12-17,2020-03-19,closing,91d,CH0036183629,113.7,-113.7
GMBF,2020-03-17,2020-03-19,opening,91d,CH0510947556,608.45,608.45
Conf. Bonds,2020-03-11,2020-03-25,opening,9yr,CH0224397346,171.7,171.7
GMBF,2019-12-23,2020-03-26,closing,91d,CH0036183637,400.0,-400.0
GMBF,2020-03-24,2020-03-26,opening,91d,CH0510947564,633.65,633.65
GMBF,2019-10-01,2020-04-02,closing,182d,CH0036183512,618.75,-618.75
GMBF,2020-03-31,2020-04-02,opening,182d,CH0510947572,1193.2,1193.2
GMBF,2020-01-07,2020-04-09,closing,91d,CH0510947457,392.6,-392.6
GMBF,2020-04-07,2020-04-09,opening,91d,CH0510947580,1184.55,1184.55
GMBF,2020-01-14,2020-04-16,closing,91d,CH0510947465,421.2,-421.2
GMBF,2020-04-14,2020-04-16,opening,91d,CH0510947598,1456.4,1456.4
Conf. Bonds,2020-04-08,2020-04-22,opening,6yr,CH0224396983,475.6,475.6
Conf. Bonds,2020-04-08,2020-04-22,opening,12yr,CH0344958688,120.4,120.4
GMBF,2020-01-21,2020-04-23,closing,91d,CH0510947473,384.65,-384.65
GMBF,2020-04-21,2020-04-23,opening,91d,CH0510947606,1543.8,1543.8
GMBF,2020-01-28,2020-04-30,closing,91d,CH0510947481,451.5,-451.5
GMBF,2020-04-28,2020-04-30,opening,91d,CH0510947614,924.95,924.95
GMBF,2020-02-04,2020-05-07,closing,91d,CH0510947499,400.35,-400.35
GMBF,2020-05-05,2020-05-07,opening,91d,CH0510947622,893.1,893.1
GMBF,2019-11-12,2020-05-14,closing,182d,CH0036183579,373.0,-373.0
GMBF,2020-05-12,2020-05-14,opening,182d,CH0510947630,1038.95,1038.95
GMBF,2020-02-18,2020-05-22,closing,91d,CH0510947515,424.4,-424.4
GMBF,2020-05-19,2020-05-22,opening,91d,CH0510947648,849.85,849.85
Conf. Bonds,2020-05-13,2020-05-27,opening,9yr,CH0224397346,389.8,389.8
Conf. Bonds,2020-05-13,2020-05-27,opening,19yr,CH0440081401,209.81,209.81
GMBF,2020-02-25,2020-05-28,closing,91d,CH0510947523,464.5,-464.5
GMBF,2020-05-26,2020-05-28,opening,91d,CH0510947655,833.85,833.85
GMBF,2020-03-03,2020-06-04,closing,91d,CH0510947531,460.45,-460.45
GMBF,2020-06-02,2020-06-04,opening,91d,CH0510947663,850.3,850.3
GMBF,2020-03-10,2020-06-11,closing,91d,CH0510947549,467.9,-467.9
GMBF,2020-06-09,2020-06-11,opening,91d,CH0510947671,871.6,871.6
GMBF,2020-03-17,2020-06-18,closing,91d,CH0510947556,608.45,-608.45
GMBF,2020-06-16,2020-06-18,opening,91d,CH0510947689,800.0,800.0
Conf. Bonds,2020-06-10,2020-06-24,opening,9yr,CH0224397346,338.9,338.9
Conf. Bonds,2020-06-10,2020-06-24,opening,14yr,CH0440081393,303.7,303.7
GMBF,2020-03-24,2020-06-25,closing,91d,CH0510947564,633.65,-633.65
GMBF,2020-06-23,2020-06-25,opening,91d,CH0510947697,800.0,800.0
GMBF,2019-07-02,2020-07-02,closing,364d,CH0036183389,416.4,-416.4
GMBF,2020-06-30,2020-07-02,opening,364d,CH0510947705,800.0,800.0
Conf. Bonds,2011-01-12,2020-07-06,closing,9yr,CH0021908907,431.51,-431.51
Conf. Bonds,2012-03-14,2020-07-06,closing,8yr,CH0021908907,634.5,-634.5
GMBF,2020-04-07,2020-07-09,closing,91d,CH0510947580,1184.55,-1184.55
GMBF,2020-07-07,2020-07-09,opening,91d,CH0510947713,800.0,800.0
GMBF,2020-04-14,2020-07-16,closing,91d,CH0510947598,1456.4,-1456.4
GMBF,2020-07-14,2020-07-16,opening,91d,CH0510947721,794.2,794.2
Conf. Bonds,2020-07-08,2020-07-22,opening,9yr,CH0224397171,188.15,188.15
Conf. Bonds,2020-07-08,2020-07-22,opening,19yr,CH0440081401,207.15,207.15
GMBF,2020-04-21,2020-07-23,closing,91d,CH0510947606,1543.8,-1543.8
GMBF,2020-07-21,2020-07-23,opening,91d,CH0510947739,800.0,800.0
GMBF,2020-04-28,2020-07-30,closing,91d,CH0510947614,924.95,-924.95
GMBF,2020-07-28,2020-07-30,opening,91d,CH0510947747,800.0,800.0
GMBF,2020-05-05,2020-08-06,closing,91d,CH0510947622,893.1,-893.1
GMBF,2020-08-04,2020-08-06,opening,91d,CH0510947754,800.0,800.0
GMBF,2020-02-11,2020-08-13,closing,182d,CH0510947507,462.7,-462.7
GMBF,2020-08-11,2020-08-13,opening,182d,CH0510947762,962.05,962.05
GMBF,2020-05-19,2020-08-20,closing,91d,CH0510947648,849.85,-849.85
GMBF,2020-08-18,2020-08-20,opening,91d,CH0510947770,800.0,800.0
GMBF,2020-05-26,2020-08-27,closing,91d,CH0510947655,833.85,-833.85
GMBF,2020-08-25,2020-08-27,opening,91d,CH0510947788,800.0,800.0
GMBF,2020-06-02,2020-09-03,closing,91d,CH0510947663,850.3,-850.3
GMBF,2020-09-01,2020-09-03,opening,91d,CH0510947796,724.6,724.6
GMBF,2020-06-09,2020-09-10,closing,91d,CH0510947671,871.6,-871.6
GMBF,2020-09-08,2020-09-10,opening,91d,CH0510947804,750.7,750.7
GMBF,2020-06-16,2020-09-17,closing,91d,CH0510947689,800.0,-800.0
GMBF,2020-09-15,2020-09-17,opening,91d,CH0510947812,842.25,842.25
Conf. Bonds,2020-09-09,2020-09-23,opening,13yr,CH0440081393,195.65,195.65
GMBF,2020-06-23,2020-09-24,closing,91d,CH0510947697,800.0,-800.0
GMBF,2020-09-22,2020-09-24,opening,91d,CH0510947820,792.75,792.75
GMBF,2020-03-31,2020-10-01,closing,182d,CH0510947572,1193.2,-1193.2
GMBF,2020-09-29,2020-10-01,opening,182d,CH0510947838,787.75,787.75
GMBF,2020-07-07,2020-10-08,closing,91d,CH0510947713,800.0,-800.0
GMBF,2020-10-06,2020-10-08,opening,91d,CH0510947846,754.05,754.05
